;cell_type;lineage;lineage_hierarchy;;;
;Allantois;Tissue;;;;
;Anterior_Primitive_Streak;Neural;;;;
;Blood_progenitors_1;Hematopoietic;1;;;
;Blood_progenitors_2;Hematopoietic;2;;;
;Cardiomyocytes;Tissue;;;;
;Caudal_epiblast;Stem cell;;;;
;Caudal_Mesoderm;Mesoderm;;;;
;Caudal_neurectoderm;Ectoderm;;;;
;Def._endoderm;Endoderm;;;;
;Endothelium;Tissue;;;;
;Epiblast;Stem cell;;;;
;Erythroid1;Hematopoietic;3;;;
;Erythroid2;Hematopoietic;4;;;
;Erythroid3;Hematopoietic;5;;;
;ExE_ectoderm;Ectoderm;;;;
;ExE_endoderm;Endoderm;;;;
;ExE_mesoderm;Mesoderm;;;;
;Forebrain_Midbrain_Hindbrain;Neural;;;;
;Gut;Tissue;;;;
;Haematoendothelial_progenitors;Hematopoietic;0;;;
;Intermediate_mesoderm;Mesoderm;;;;
;Mesenchyme;Tissue;;;;
;Mixed_mesoderm;Mesoderm;;;;
;Neural_crest;Neural;;;;
;NMP;Mesoderm;;;;
;Notochord;Tissue;;;;
;Paraxial_mesoderm;Mesoderm;;;;
;Parietal_endoderm;Endoderm;;;;
;PGC;Stem cell;;;;
;Pharyngeal_mesoderm;Mesoderm;;;;
;Primitive_Streak;Neural;;;;
;Rostral_neurectoderm;Ectoderm;;;;
;Somitic_mesoderm;Mesoderm;;;;
;Spinal_cord;Neural;;;;
;Surface_ectoderm;Ectoderm;;;;
;Visceral_endoderm;Endoderm;;;;